Wall time,Step,Value
1768504418.5705187,0,1.5088695287704468
1768504426.0714824,1,1.2153751850128174
1768504433.5385618,2,1.1005948781967163
1768504440.8720834,3,1.0272349119186401
1768504448.1941721,4,0.9694393277168274
1768504455.435324,5,0.9189072847366333
1768504462.7757692,6,0.8840727210044861
1768504469.9851205,7,0.8469610810279846
1768504477.2754269,8,0.8141593933105469
1768504484.4767904,9,0.7724436521530151
1768504491.5532916,10,0.7486363053321838
1768504498.769985,11,0.7191272974014282
1768504505.8644834,12,0.6903969049453735
1768504512.8169024,13,0.6645135283470154
1768504519.8427832,14,0.6520087122917175
1768504527.0276172,15,0.6334723830223083
1768504534.0085864,16,0.6132473349571228
1768504540.9282393,17,0.5986167788505554
1768504547.931228,18,0.5812203288078308
1768504554.9470003,19,0.5546572208404541
1768504562.1171024,20,0.5455147624015808
1768504569.1327398,21,0.5245556831359863
1768504576.2798235,22,0.5087437629699707
1768504583.4620712,23,0.49430280923843384
1768504590.5599272,24,0.48972269892692566
1768504598.2899573,25,0.46990469098091125
1768504605.510117,26,0.45370444655418396
1768504612.7739959,27,0.45227593183517456
1768504619.7202134,28,0.43486055731773376
1768504627.071605,29,0.42738276720046997
1768504634.3350754,30,0.40516701340675354
1768504641.4186234,31,0.394862562417984
1768504648.6096604,32,0.3830684423446655
1768504655.927881,33,0.3710426092147827
1768504663.0965004,34,0.37073054909706116
1768504670.5773323,35,0.3542628884315491
1768504677.7395618,36,0.3506939709186554
1768504684.8639507,37,0.33962541818618774
1768504693.0787897,38,0.3342372477054596
1768504701.6213567,39,0.3250333070755005
1768504710.3158364,40,0.31453800201416016
1768504721.130236,41,0.30275678634643555
1768504731.7797425,42,0.29375073313713074
1768504741.998272,43,0.2944711148738861
1768504752.380882,44,0.28079953789711
1768504762.571236,45,0.2764407694339752
1768504772.8906038,46,0.2681998908519745
1768504783.142517,47,0.26771223545074463
1768504793.596514,48,0.25661253929138184
1768504803.9833183,49,0.2526426911354065
