Wall time,Step,Value
1768578414.1199565,0,1.3201442956924438
1768578535.7906327,1,0.9077243208885193
1768578654.3215156,2,0.7446891665458679
1768578770.7153714,3,0.6453896760940552
1768578885.9319155,4,0.5843021869659424
1768579000.2353497,5,0.5321298837661743
1768579113.6788406,6,0.4824187755584717
1768579227.7399654,7,0.452309250831604
1768579325.8225029,8,0.41467058658599854
1768579423.3081317,9,0.3873959183692932
1768579520.6174126,10,0.33899593353271484
1768579616.7830071,11,0.31980568170547485
1768579712.7711613,12,0.29671400785446167
1768579809.0069997,13,0.2642309069633484
1768579904.747909,14,0.25338953733444214
1768580002.2772686,15,0.2350364625453949
1768580099.5933788,16,0.21082493662834167
1768580196.2857275,17,0.19816024601459503
1768580292.859963,18,0.18168316781520844
1768580389.5252945,19,0.16877341270446777
1768580486.1543858,20,0.1437188982963562
1768580583.0649633,21,0.13506059348583221
1768580680.295556,22,0.12064359337091446
1768580776.0820322,23,0.11143521219491959
1768580872.9275594,24,0.10592512786388397
1768580969.6919096,25,0.10035692155361176
1768581066.5500135,26,0.08941568434238434
1768581163.0830112,27,0.0790296271443367
1768581259.44722,28,0.07755845040082932
1768581356.5364103,29,0.07394816726446152
1768581452.8184063,30,0.06166478991508484
1768581549.296889,31,0.05539922043681145
1768581645.388775,32,0.04900924861431122
1768581741.9189343,33,0.05026550963521004
1768581838.2679555,34,0.04486532509326935
1768581935.9222324,35,0.04404492676258087
1768582035.7621706,36,0.04860040545463562
1768582135.8658934,37,0.039881207048892975
1768582232.7099106,38,0.03829300403594971
1768582328.859317,39,0.039773453027009964
1768582424.46621,40,0.02970578335225582
1768582519.2546918,41,0.02557709813117981
1768582615.0778909,42,0.025938836857676506
1768582710.7320578,43,0.02708614245057106
1768582806.8986135,44,0.025168433785438538
1768582915.9392717,45,0.025167737156152725
1768583025.9072368,46,0.02747352235019207
1768583135.3475697,47,0.020855732262134552
1768583245.9780834,48,0.024656735360622406
1768583355.8560424,49,0.02180534601211548
