Wall time,Step,Value
1768514254.2824101,0,0.46077725291252136
1768514268.684614,1,0.5883013010025024
1768514282.8213596,2,0.6327524185180664
1768514296.9254835,3,0.668870210647583
1768514311.1864984,4,0.693830132484436
1768514325.4830713,5,0.7069511413574219
1768514339.818909,6,0.7294871807098389
1768514353.893111,7,0.7408854365348816
1768514368.1211033,8,0.7512820363044739
1768514382.09808,9,0.7575320601463318
1768514396.197862,10,0.7705528736114502
1768514410.2466364,11,0.7756810784339905
1768514424.3517394,12,0.7872996926307678
1768514438.473569,13,0.7895032167434692
1768514452.66372,14,0.7977163195610046
1768514466.877492,15,0.8018028736114502
1768514480.9926112,16,0.8061498403549194
1768514495.2131407,17,0.8156850934028625
1768514509.484778,18,0.8181290030479431
1768514523.8344274,19,0.823637843132019
1768514537.9649894,20,0.8300881385803223
1768514552.0455685,21,0.8332732319831848
1768514566.1654477,22,0.8347155451774597
1768514580.2683933,23,0.8423877954483032
1768514594.3147912,24,0.8461138010025024
1768514608.546009,25,0.8512420058250427
1768514622.5614202,26,0.8534655570983887
1768514636.7214453,27,0.8578325510025024
1768514650.8627267,28,0.8576722741127014
1768514665.0967703,29,0.8615184426307678
1768514679.3239594,30,0.866446316242218
1768514693.6996582,31,0.8704928159713745
1768514707.8793173,32,0.8727564215660095
1768514721.9706573,33,0.8768429756164551
1768514736.1590767,34,0.8797275424003601
1768514750.301181,35,0.8810496926307678
1768514764.3775935,36,0.8848958611488342
1768514778.4319286,37,0.8866786956787109
1768514792.6071012,38,0.888401448726654
1768514806.9534738,39,0.8871194124221802
1768514821.217842,40,0.8934094309806824
1768514835.420635,41,0.8961137533187866
1768514849.610634,42,0.8995993733406067
1768514863.7551963,43,0.9030248522758484
1768514878.0020435,44,0.9004807472229004
1768514892.1937358,45,0.9023237228393555
1768514906.2884073,46,0.9059094786643982
1768514920.4504402,47,0.9084935784339905
1768514934.88145,48,0.9120793342590332
1768514949.0695555,49,0.9130408763885498
