Wall time,Step,Value
1768503782.5777764,0,1.8322539329528809
1768503788.2539594,1,1.5194944143295288
1768503793.7207315,2,1.4153200387954712
1768503798.967511,3,1.3372907638549805
1768503804.2467082,4,1.269417405128479
1768503809.4891381,5,1.2117395401000977
1768503814.8189633,6,1.1871014833450317
1768503820.1660888,7,1.1294504404067993
1768503825.5671895,8,1.1076163053512573
1768503831.032033,9,1.0674654245376587
1768503836.4752414,10,1.035193920135498
1768503841.7637143,11,1.015642762184143
1768503847.349857,12,0.9854044318199158
1768503855.5017633,13,0.9755402207374573
1768503863.493734,14,0.9437625408172607
1768503871.5518062,15,0.9163122177124023
1768503879.4309363,16,0.9063407778739929
1768503887.6567457,17,0.8851666450500488
1768503895.911071,18,0.8699893355369568
1768503903.8820338,19,0.8587548136711121
1768503912.9672933,20,0.8294140696525574
1768503920.7308133,21,0.8170446753501892
1768503928.8782833,22,0.8065654039382935
1768503936.7999449,23,0.7859790325164795
1768503944.8701565,24,0.7727784514427185
1768503952.757063,25,0.7653342485427856
1768503958.5978665,26,0.7518326044082642
1768503963.83525,27,0.7526548504829407
1768503969.0899217,28,0.7299922108650208
1768503974.6308916,29,0.7213606834411621
1768503979.8701184,30,0.7053560614585876
1768503985.2723374,31,0.704023540019989
1768503990.665845,32,0.6834361553192139
1768503996.1305885,33,0.6826744675636292
1768504001.4188309,34,0.6675803661346436
1768504006.9132025,35,0.6530004143714905
1768504012.144816,36,0.6415759921073914
1768504017.535004,37,0.6271636486053467
1768504023.6468358,38,0.6259580850601196
1768504029.3328009,39,0.6193214058876038
1768504034.5556786,40,0.6045870780944824
1768504040.0424852,41,0.5840981006622314
1768504045.2347178,42,0.5740603804588318
1768504050.5206118,43,0.5790449380874634
1768504055.8612123,44,0.5721189975738525
1768504061.414276,45,0.5503090620040894
1768504066.8138967,46,0.5473568439483643
1768504072.170304,47,0.53739333152771
1768504077.6014185,48,0.523746132850647
1768504083.0684407,49,0.5237271785736084
