Wall time,Step,Value
1768515197.4040208,0,1.4336704015731812
1768515218.906787,1,1.0697911977767944
1768515239.9803019,2,0.926613986492157
1768515260.7065418,3,0.836479127407074
1768515281.7374074,4,0.765977144241333
1768515302.671387,5,0.7231243252754211
1768515323.71599,6,0.6819961071014404
1768515344.6360292,7,0.6525892019271851
1768515365.744042,8,0.6188362836837769
1768515386.6549141,9,0.5899736285209656
1768515407.6674693,10,0.5602066516876221
1768515428.6708632,11,0.5455721020698547
1768515449.7550728,12,0.5250106453895569
1768515470.9306855,13,0.4952912926673889
1768515491.868872,14,0.47807151079177856
1768515513.1282256,15,0.46064844727516174
1768515534.2895045,16,0.44244569540023804
1768515555.3283665,17,0.4215208888053894
1768515576.5505087,18,0.4094449281692505
1768515597.820419,19,0.4018198549747467
1768515619.0469134,20,0.3785775303840637
1768515640.1412578,21,0.35925719141960144
1768515661.423333,22,0.3500886559486389
1768515682.3605387,23,0.3481241762638092
1768515703.6701405,24,0.3290903866291046
1768515724.8385692,25,0.3178175985813141
1768515745.8660126,26,0.31498777866363525
1768515767.1556225,27,0.2989233434200287
1768515788.061167,28,0.2872496247291565
1768515808.9096928,29,0.28135553002357483
1768515830.6772213,30,0.2630065679550171
1768515851.73823,31,0.2590630054473877
1768515872.8186376,32,0.25392812490463257
1768515893.8791203,33,0.23965230584144592
1768515914.8261359,34,0.233540877699852
1768515935.7972982,35,0.22200873494148254
1768515956.5939608,36,0.22071513533592224
1768515977.7188096,37,0.2084307223558426
1768515998.6105466,38,0.20092256367206573
1768516020.1766565,39,0.1918834149837494
1768516041.1229022,40,0.18792401254177094
1768516062.055818,41,0.1787542700767517
1768516083.359135,42,0.1747172474861145
1768516110.0270216,43,0.17481543123722076
1768516136.0864768,44,0.16299480199813843
1768516161.958124,45,0.1545388400554657
1768516188.0614345,46,0.1538994312286377
1768516214.2700615,47,0.14594237506389618
1768516240.6492465,48,0.14554810523986816
1768516267.0572104,49,0.141178697347641
