Wall time,Step,Value
1768503782.577842,0,0.3200921416282654
1768503788.2540174,1,0.44334936141967773
1768503793.7207704,2,0.4861378073692322
1768503798.9675539,3,0.5168870091438293
1768503804.2467537,4,0.5457131266593933
1768503809.4891834,5,0.5643429756164551
1768503814.8190067,6,0.5799078345298767
1768503820.1661296,7,0.5989382863044739
1768503825.567233,8,0.6066506505012512
1768503831.0320704,9,0.6222756505012512
1768503836.4752774,10,0.6330729126930237
1768503841.7637556,11,0.6405649185180664
1768503847.3499527,12,0.6513221263885498
1768503855.5018003,13,0.6567708253860474
1768503863.4937835,14,0.6652644276618958
1768503871.5518672,15,0.6754607558250427
1768503879.430977,16,0.681209921836853
1768503887.6567984,17,0.6863381266593933
1768503895.9111185,18,0.6939502954483032
1768503903.882084,19,0.6989583373069763
1768503912.9673467,20,0.7103766202926636
1768503920.7308667,21,0.714262843132019
1768503928.8783867,22,0.717968761920929
1768503936.799995,23,0.7264823913574219
1768503944.870203,24,0.7298076748847961
1768503952.7571158,25,0.7339142560958862
1768503958.5979178,26,0.7371193766593933
1768503963.835292,27,0.7357772588729858
1768503969.089973,28,0.7446514368057251
1768503974.6309333,29,0.7479968070983887
1768503979.8701642,30,0.7535457015037537
1768503985.272373,31,0.7533453702926636
1768503990.6658862,32,0.7618389129638672
1768503996.1306381,33,0.7602964639663696
1768504001.4188771,34,0.7661057710647583
1768504006.9132733,35,0.7720953822135925
1768504012.144861,36,0.7755609154701233
1768504017.5350518,37,0.7822716236114502
1768504023.646883,38,0.7806891202926636
1768504029.3328378,39,0.7820112109184265
1768504034.5557165,40,0.7892828583717346
1768504040.042534,41,0.7959535121917725
1768504045.2347586,42,0.8004006147384644
1768504050.5206609,43,0.7997395992279053
1768504055.861254,44,0.8018629550933838
1768504061.414313,45,0.8085737228393555
1768504066.8139412,46,0.8129206895828247
1768504072.1703537,47,0.8141626715660095
1768504077.6014616,48,0.821053683757782
1768504083.068484,49,0.818790078163147
