Wall time,Step,Value
1768504418.5706043,0,0.4513421356678009
1768504426.071521,1,0.5641025900840759
1768504433.5386078,2,0.6100561022758484
1768504440.872128,3,0.6366987228393555
1768504448.1942136,4,0.6572916507720947
1768504455.4353712,5,0.6745592951774597
1768504462.7758136,6,0.6904647350311279
1768504469.985169,7,0.7020833492279053
1768504477.2754698,8,0.7148036956787109
1768504484.4768353,9,0.7276642918586731
1768504491.5533402,10,0.7386618852615356
1768504498.7700331,11,0.7482972741127014
1768504505.8645322,12,0.7584335207939148
1768504512.8169549,13,0.7675080299377441
1768504519.842822,14,0.7708533406257629
1768504527.0276687,15,0.7819711565971375
1768504534.0086243,16,0.7861979007720947
1768504540.9282901,17,0.7927884459495544
1768504547.9312701,18,0.7989382743835449
1768504554.9470487,19,0.8081730604171753
1768504562.117146,20,0.8137419819831848
1768504569.1327865,21,0.8196313977241516
1768504576.279865,22,0.8260015845298767
1768504583.4621105,23,0.827964723110199
1768504590.559975,24,0.8325721025466919
1768504598.2900004,25,0.8391626477241516
1768504605.5101635,26,0.8460536599159241
1768504612.7740436,27,0.8462940454483032
1768504619.7202601,28,0.8528044819831848
1768504627.0716546,29,0.8549278974533081
1768504634.3351128,30,0.8618789911270142
1768504641.418666,31,0.8671674728393555
1768504648.6097052,32,0.8711137771606445
1768504655.9279168,33,0.8734575510025024
1768504663.0965517,34,0.875741183757782
1768504670.5773757,35,0.8810897469520569
1768504677.7396028,36,0.8831730484962463
1768504684.863986,37,0.8859975934028625
1768504693.0788279,38,0.8894030451774597
1768504701.621405,39,0.8904446959495544
1768504710.3158853,40,0.8948717713356018
1768504721.1302948,41,0.8998397588729858
1768504731.7797906,42,0.9015825390815735
1768504741.99832,43,0.9024438858032227
1768504752.3809283,44,0.908473551273346
1768504762.571286,45,0.9079527258872986
1768504772.8906527,46,0.9100360870361328
1768504783.1425645,47,0.9119390845298767
1768504793.596561,48,0.9165264368057251
1768504803.9833682,49,0.9163060784339905
