Wall time,Step,Value
1768514254.2823448,0,1.4678335189819336
1768514268.6845717,1,1.145585060119629
1768514282.8212883,2,1.0252429246902466
1768514296.9254205,3,0.932062566280365
1768514311.1864457,4,0.8719702363014221
1768514325.4830313,5,0.8281498551368713
1768514339.8188667,6,0.7734287977218628
1768514353.893066,7,0.7368116974830627
1768514368.1210523,8,0.7152472138404846
1768514382.0980287,9,0.6936008334159851
1768514396.1978216,10,0.6555696725845337
1768514410.2465851,11,0.6436203122138977
1768514424.351696,12,0.6124677658081055
1768514438.473518,13,0.6028287410736084
1768514452.6636646,14,0.585282564163208
1768514466.8774366,15,0.5684511065483093
1768514480.992558,16,0.554950475692749
1768514495.2130878,17,0.5330019593238831
1768514509.4847283,18,0.5213966965675354
1768514523.8343883,19,0.5076544284820557
1768514537.9649503,20,0.49151134490966797
1768514552.0455136,21,0.4827152490615845
1768514566.165401,22,0.46916964650154114
1768514580.2683456,23,0.454799085855484
1768514594.3147426,24,0.4430713355541229
1768514608.545968,25,0.43296074867248535
1768514622.5613737,26,0.4273209273815155
1768514636.7213995,27,0.41368329524993896
1768514650.862685,28,0.41563963890075684
1768514665.0967278,29,0.40400636196136475
1768514679.3239074,30,0.3890987038612366
1768514693.6996202,31,0.37623918056488037
1768514707.8792608,32,0.36982324719429016
1768514721.9706082,33,0.3581737279891968
1768514736.1590338,34,0.34825536608695984
1768514750.30111,35,0.3469657003879547
1768514764.37753,36,0.3344995081424713
1768514778.4318035,37,0.33243298530578613
1768514792.6070585,38,0.3266579508781433
1768514806.9534037,39,0.32631078362464905
1768514821.2177901,40,0.3155418336391449
1768514835.420571,41,0.3102399706840515
1768514849.6105804,42,0.29648512601852417
1768514863.755152,43,0.28908297419548035
1768514878.0019908,44,0.29133638739585876
1768514892.1936948,45,0.2847723066806793
1768514906.2883484,46,0.27558302879333496
1768514920.4503894,47,0.2708704471588135
1768514934.8814,48,0.25983136892318726
1768514949.0695,49,0.25707167387008667
